Date,Weekly Sales,Date,Store,Dept
11/2/2012,39873.1988,11/2/2012,1,1
11/9/2012,19810.5457,11/9/2012,1,1
11/16/2012,19811.5705,11/16/2012,1,1
11/23/2012,20709.6208,11/23/2012,1,1
11/30/2012,19666.1921,11/30/2012,1,1
12/7/2012,36104.1481,12/7/2012,1,1
12/14/2012,48279.3405,12/14/2012,1,1
12/21/2012,49787.0796,12/21/2012,1,1
12/28/2012,24087.3474,12/28/2012,1,1
1/4/2013,16627.9153,1/4/2013,1,1
1/11/2013,17029.141,1/11/2013,1,1
1/18/2013,17952.7375,1/18/2013,1,1
1/25/2013,18211.7227,1/25/2013,1,1
2/1/2013,23465.5263,2/1/2013,1,1
2/8/2013,38419.1771,2/8/2013,1,1
2/15/2013,56190.0365,2/15/2013,1,1
2/22/2013,20352.7357,2/22/2013,1,1
3/1/2013,20611.07,3/1/2013,1,1
3/8/2013,21204.9528,3/8/2013,1,1
3/15/2013,21791.826,3/15/2013,1,1
3/22/2013,22513.8762,3/22/2013,1,1
3/29/2013,28030.7595,3/29/2013,1,1
4/5/2013,58608.1868,4/5/2013,1,1
4/12/2013,37237.6103,4/12/2013,1,1
4/19/2013,17996.8771,4/19/2013,1,1
4/26/2013,17612.2688,4/26/2013,1,1
5/3/2013,18588.6787,5/3/2013,1,1
5/10/2013,17885.4937,5/10/2013,1,1
5/17/2013,17889.7926,5/17/2013,1,1
5/24/2013,16678.497,5/24/2013,1,1
5/31/2013,16539.0363,5/31/2013,1,1
6/7/2013,16969.4109,6/7/2013,1,1
6/14/2013,17073.4388,6/14/2013,1,1
6/21/2013,16553.4379,6/21/2013,1,1
6/28/2013,16154.6743,6/28/2013,1,1
7/5/2013,16393.4375,7/5/2013,1,1
7/12/2013,16374.0952,7/12/2013,1,1
7/19/2013,16485.0605,7/19/2013,1,1
7/26/2013,15987.9627,7/26/2013,1,1
11/2/2012,48583.295,11/2/2012,1,2
11/9/2012,48068.6709,11/9/2012,1,2
11/16/2012,45050.2429,11/16/2012,1,2
11/23/2012,44899.5285,11/23/2012,1,2
11/30/2012,45960.5105,11/30/2012,1,2
12/7/2012,48761.6605,12/7/2012,1,2
12/14/2012,51423.1377,12/14/2012,1,2
12/21/2012,59915.2714,12/21/2012,1,2
12/28/2012,45854.3639,12/28/2012,1,2
1/4/2013,48242.5416,1/4/2013,1,2
1/11/2013,45474.2171,1/11/2013,1,2
1/18/2013,42843.6879,1/18/2013,1,2
1/25/2013,42603.2207,1/25/2013,1,2
2/1/2013,51456.2898,2/1/2013,1,2
2/8/2013,49996.1,2/8/2013,1,2
2/15/2013,46224.5714,2/15/2013,1,2
2/22/2013,46391.7503,2/22/2013,1,2
3/1/2013,51020.3007,3/1/2013,1,2
3/8/2013,49233.3854,3/8/2013,1,2
3/15/2013,45878.6673,3/15/2013,1,2
3/22/2013,45200.6289,3/22/2013,1,2
3/29/2013,45596.4709,3/29/2013,1,2
4/5/2013,50213.1581,4/5/2013,1,2
4/12/2013,44931.0339,4/12/2013,1,2
4/19/2013,44992.7408,4/19/2013,1,2
4/26/2013,45208.6003,4/26/2013,1,2
5/3/2013,49932.1438,5/3/2013,1,2
5/10/2013,47541.9739,5/10/2013,1,2
5/17/2013,45019.7322,5/17/2013,1,2
5/24/2013,45069.6137,5/24/2013,1,2
5/31/2013,43981.8777,5/31/2013,1,2
6/7/2013,48846.0827,6/7/2013,1,2
6/14/2013,45290.1401,6/14/2013,1,2
6/21/2013,45216.3424,6/21/2013,1,2
6/28/2013,45598.2665,6/28/2013,1,2
7/5/2013,49524.8897,7/5/2013,1,2
7/12/2013,44852.2243,7/12/2013,1,2
7/19/2013,44838.8318,7/19/2013,1,2
7/26/2013,44912.0755,7/26/2013,1,2
11/2/2012,10652.3264,11/2/2012,1,3
11/9/2012,10447.4612,11/9/2012,1,3
11/16/2012,9597.2895,11/16/2012,1,3
11/23/2012,9242.1139,11/23/2012,1,3
11/30/2012,9625.862,11/30/2012,1,3
12/7/2012,10907.3252,12/7/2012,1,3
12/14/2012,12201.9404,12/14/2012,1,3
12/21/2012,12315.6719,12/21/2012,1,3
12/28/2012,12560.729,12/28/2012,1,3
1/4/2013,14001.6139,1/4/2013,1,3
1/11/2013,13550.0236,1/11/2013,1,3
1/18/2013,12051.6931,1/18/2013,1,3
1/25/2013,11033.768,1/25/2013,1,3
2/1/2013,11921.4073,2/1/2013,1,3
2/8/2013,12008.1518,2/8/2013,1,3
2/15/2013,11062.9861,2/15/2013,1,3
2/22/2013,10566.3663,2/22/2013,1,3
3/1/2013,11396.7813,3/1/2013,1,3
3/8/2013,11360.4597,3/8/2013,1,3
3/15/2013,8835.2007,3/15/2013,1,3
3/22/2013,8309.7102,3/22/2013,1,3
3/29/2013,8928.9907,3/29/2013,1,3
4/5/2013,10657.52,4/5/2013,1,3
4/12/2013,9759.4927,4/12/2013,1,3
4/19/2013,8610.0941,4/19/2013,1,3
4/26/2013,8892.3419,4/26/2013,1,3
5/3/2013,10715.5381,5/3/2013,1,3
5/10/2013,10356.4274,5/10/2013,1,3
5/17/2013,8686.0064,5/17/2013,1,3
5/24/2013,8332.7306,5/24/2013,1,3
5/31/2013,8894.7333,5/31/2013,1,3
6/7/2013,8408.0163,6/7/2013,1,3
6/14/2013,7969.2726,6/14/2013,1,3
6/21/2013,7489.2181,6/21/2013,1,3
6/28/2013,6620.6504,6/28/2013,1,3
7/5/2013,8998.4541,7/5/2013,1,3
7/12/2013,11879.7853,7/12/2013,1,3
7/19/2013,18586.3672,7/19/2013,1,3
7/26/2013,21436.8146,7/26/2013,1,3
11/2/2012,39157.3614,11/2/2012,1,4
11/9/2012,37774.4219,11/9/2012,1,4
11/16/2012,37709.2418,11/16/2012,1,4
11/23/2012,47038.8159,11/23/2012,1,4
11/30/2012,41333.5494,11/30/2012,1,4
12/7/2012,38231.2758,12/7/2012,1,4
12/14/2012,38677.9786,12/14/2012,1,4
12/21/2012,43886.8459,12/21/2012,1,4
12/28/2012,38387.434,12/28/2012,1,4
1/4/2013,40818.3448,1/4/2013,1,4
1/11/2013,36243.12,1/11/2013,1,4
1/18/2013,35585.4682,1/18/2013,1,4
1/25/2013,35453.8371,1/25/2013,1,4
2/1/2013,39983.8234,2/1/2013,1,4
2/8/2013,39611.3124,2/8/2013,1,4
2/15/2013,36896.8023,2/15/2013,1,4
2/22/2013,36139.1013,2/22/2013,1,4
3/1/2013,39286.3116,3/1/2013,1,4
3/8/2013,39446.8132,3/8/2013,1,4
3/15/2013,37687.8072,3/15/2013,1,4
3/22/2013,36960.3542,3/22/2013,1,4
3/29/2013,36901.7274,3/29/2013,1,4
4/5/2013,41190.8073,4/5/2013,1,4
4/12/2013,36728.3702,4/12/2013,1,4
4/19/2013,36335.8849,4/19/2013,1,4
4/26/2013,36757.8688,4/26/2013,1,4
5/3/2013,41137.7779,5/3/2013,1,4
5/10/2013,39117.6232,5/10/2013,1,4
5/17/2013,36029.822,5/17/2013,1,4
5/24/2013,36279.1701,5/24/2013,1,4
5/31/2013,36513.5585,5/31/2013,1,4
6/7/2013,40838.3449,6/7/2013,1,4
6/14/2013,38136.2071,6/14/2013,1,4
6/21/2013,37379.7966,6/21/2013,1,4
6/28/2013,36914.6626,6/28/2013,1,4
7/5/2013,43466.6429,7/5/2013,1,4
7/12/2013,37252.2496,7/12/2013,1,4
7/19/2013,37168.6017,7/19/2013,1,4
7/26/2013,37426.8819,7/26/2013,1,4
11/2/2012,31352.5516,11/2/2012,1,5
11/9/2012,30600.0194,11/9/2012,1,5
11/16/2012,28738.9762,11/16/2012,1,5
11/23/2012,84929.5485,11/23/2012,1,5
11/30/2012,50306.5151,11/30/2012,1,5
12/7/2012,42204.8777,12/7/2012,1,5
12/14/2012,48884.7803,12/14/2012,1,5
12/21/2012,72729.8273,12/21/2012,1,5
12/28/2012,34764.4847,12/28/2012,1,5
1/4/2013,21470.7513,1/4/2013,1,5
1/11/2013,19753.9556,1/11/2013,1,5
1/18/2013,19045.0715,1/18/2013,1,5
1/25/2013,21007.5833,1/25/2013,1,5
2/1/2013,30879.6282,2/1/2013,1,5
2/8/2013,36842.3755,2/8/2013,1,5
2/15/2013,35905.7224,2/15/2013,1,5
2/22/2013,31359.7715,2/22/2013,1,5
3/1/2013,29210.5296,3/1/2013,1,5
3/8/2013,25613.4051,3/8/2013,1,5
3/15/2013,24345.3308,3/15/2013,1,5
3/22/2013,23122.2867,3/22/2013,1,5
3/29/2013,25285.0861,3/29/2013,1,5
4/5/2013,25695.357,4/5/2013,1,5
4/12/2013,19316.1082,4/12/2013,1,5
4/19/2013,17644.7061,4/19/2013,1,5
4/26/2013,18469.1814,4/26/2013,1,5
5/3/2013,18183.2396,5/3/2013,1,5
5/10/2013,17738.3386,5/10/2013,1,5
5/17/2013,17092.1386,5/17/2013,1,5
5/24/2013,19232.7018,5/24/2013,1,5
5/31/2013,17997.1215,5/31/2013,1,5
6/7/2013,23179.4285,6/7/2013,1,5
6/14/2013,21226.1071,6/14/2013,1,5
6/21/2013,22505.193,6/21/2013,1,5
6/28/2013,20570.1258,6/28/2013,1,5
7/5/2013,19449.4073,7/5/2013,1,5
7/12/2013,18630.3938,7/12/2013,1,5
7/19/2013,17637.4039,7/19/2013,1,5
7/26/2013,16840.4618,7/26/2013,1,5
11/2/2012,5612.1846,11/2/2012,1,6
11/9/2012,4053.597,11/9/2012,1,6
11/16/2012,3625.7384,11/16/2012,1,6
11/23/2012,19262.939,11/23/2012,1,6
11/30/2012,4365.1467,11/30/2012,1,6
12/7/2012,6479.5106,12/7/2012,1,6
12/14/2012,9880.462,12/14/2012,1,6
12/21/2012,21549.6038,12/21/2012,1,6
12/28/2012,6643.1008,12/28/2012,1,6
1/4/2013,3382.1102,1/4/2013,1,6
1/11/2013,2656.7424,1/11/2013,1,6
1/18/2013,2608.8522,1/18/2013,1,6
1/25/2013,3232.3445,1/25/2013,1,6
2/1/2013,4937.6591,2/1/2013,1,6
2/8/2013,4325.1497,2/8/2013,1,6
2/15/2013,3918.708,2/15/2013,1,6
2/22/2013,3918.898,2/22/2013,1,6
3/1/2013,5557.3224,3/1/2013,1,6
3/8/2013,4173.9997,3/8/2013,1,6
3/15/2013,3744.4381,3/15/2013,1,6
3/22/2013,3483.8308,3/22/2013,1,6
3/29/2013,3922.5023,3/29/2013,1,6
4/5/2013,4071.0609,4/5/2013,1,6
4/12/2013,4012.71,4/12/2013,1,6
4/19/2013,3364.3272,4/19/2013,1,6
4/26/2013,3626.9257,4/26/2013,1,6
5/3/2013,5014.2376,5/3/2013,1,6
5/10/2013,4201.3539,5/10/2013,1,6
5/17/2013,4274.0318,5/17/2013,1,6
5/24/2013,4639.0887,5/24/2013,1,6
5/31/2013,4811.9873,5/31/2013,1,6
6/7/2013,4505.3483,6/7/2013,1,6
6/14/2013,4260.1422,6/14/2013,1,6
6/21/2013,4407.7671,6/21/2013,1,6
6/28/2013,4278.851,6/28/2013,1,6
7/5/2013,3191.4485,7/5/2013,1,6
7/12/2013,3057.3938,7/12/2013,1,6
7/19/2013,3260.5542,7/19/2013,1,6
7/26/2013,3475.1228,7/26/2013,1,6
11/2/2012,24070.6023,11/2/2012,1,7
11/9/2012,25320.6217,11/9/2012,1,7
11/16/2012,24282.3008,11/16/2012,1,7
11/23/2012,70970.2062,11/23/2012,1,7
11/30/2012,55025.0352,11/30/2012,1,7
12/7/2012,49916.5915,12/7/2012,1,7
12/14/2012,81224.3025,12/14/2012,1,7
12/21/2012,135196.8235,12/21/2012,1,7
12/28/2012,56622.0487,12/28/2012,1,7
1/4/2013,12845.7735,1/4/2013,1,7
1/11/2013,10205.0813,1/11/2013,1,7
1/18/2013,10686.5483,1/18/2013,1,7
1/25/2013,11562.2353,1/25/2013,1,7
2/1/2013,18026.1323,2/1/2013,1,7
2/8/2013,19736.6726,2/8/2013,1,7
2/15/2013,17489.4182,2/15/2013,1,7
2/22/2013,17654.7903,2/22/2013,1,7
3/1/2013,18145.0379,3/1/2013,1,7
3/8/2013,18598.7669,3/8/2013,1,7
3/15/2013,18410.1769,3/15/2013,1,7
3/22/2013,17472.7435,3/22/2013,1,7
3/29/2013,19449.1166,3/29/2013,1,7
4/5/2013,24877.0753,4/5/2013,1,7
4/12/2013,23047.0075,4/12/2013,1,7
4/19/2013,22780.6862,4/19/2013,1,7
4/26/2013,21796.8341,4/26/2013,1,7
5/3/2013,21601.438,5/3/2013,1,7
5/10/2013,22291.2626,5/10/2013,1,7
5/17/2013,21302.9319,5/17/2013,1,7
5/24/2013,26509.9115,5/24/2013,1,7
5/31/2013,30844.5137,5/31/2013,1,7
6/7/2013,32395.5097,6/7/2013,1,7
6/14/2013,26431.7882,6/14/2013,1,7
6/21/2013,24934.6511,6/21/2013,1,7
6/28/2013,24451.579,6/28/2013,1,7
7/5/2013,23263.8248,7/5/2013,1,7
7/12/2013,20082.7583,7/12/2013,1,7
7/19/2013,18407.4098,7/19/2013,1,7
7/26/2013,17710.2761,7/26/2013,1,7
11/2/2012,40285.8108,11/2/2012,1,8
11/9/2012,37772.944,11/9/2012,1,8
11/16/2012,37176.2903,11/16/2012,1,8
11/23/2012,37001.3553,11/23/2012,1,8
